X.chrom	chromStart	chromEnd	gene_id	score	strand	name	exonic_length
1	156161854	156161994	ENSG00000252236.1	.	-	SNORA26	141
1	212198903	212199024	ENSG00000212187.1	.	+	SNORA26	122
2	10230332	10230446	ENSG00000212558.1	.	-	SNORA26	115
3	53421740	53421863	ENSG00000212608.1	.	-	SNORA26	124
4	53579416	53579537	ENSG00000212588.1	.	+	SNORA26	122
4	53614304	53614426	ENSG00000212490.1	.	+	SNORA26	123
7	152306398	152306519	ENSG00000212590.1	.	+	SNORA26	122
9	89875365	89875500	ENSG00000212421.1	.	+	SNORA26	136
20	5102063	5102185	ENSG00000212517.1	.	-	SNORA26	123
20	40341118	40341239	ENSG00000212224.1	.	-	SNORA26	122
5	139959252	139959377	ENSG00000200235.1	.	+	SNORA27	126
6	137176836	137176969	ENSG00000201807.1	.	-	SNORA27	134
12	115175509	115175603	ENSG00000252459.1	.	+	SNORA27	95
13	27829538	27829663	ENSG00000207051.1	.	+	SNORA27	126
16	12936344	12936467	ENSG00000199474.1	.	-	SNORA27	124
4	74129677	74129801	ENSG00000221639.1	.	+	SNORA3	125
8	57033801	57033911	ENSG00000221093.1	.	-	SNORA3	111
11	8705774	8705903	ENSG00000200983.1	.	+	SNORA3	130
12	84577103	84577227	ENSG00000221148.1	.	-	SNORA3	125
16	2846409	2846533	ENSG00000221719.1	.	-	SNORA3	125
21	43302314	43302409	ENSG00000251778.1	.	+	SNORA3	96
9	20786926	20787054	ENSG00000202189.1	.	+	SNORA30	129
16	30721858	30721986	ENSG00000206755.1	.	+	SNORA30	129
17	76396016	76396144	ENSG00000200063.1	.	+	SNORA30	129
1	67568328	67568462	ENSG00000252433.1	.	-	SNORA31	135
1	152984958	152985090	ENSG00000252920.1	.	-	SNORA31	133
2	4874591	4874674	ENSG00000252238.1	.	-	SNORA31	84
3	100364965	100365041	ENSG00000252989.1	.	+	SNORA31	77
4	82849466	82849592	ENSG00000252762.1	.	+	SNORA31	127
4	106027144	106027251	ENSG00000252136.1	.	+	SNORA31	108
4	187051175	187051309	ENSG00000253013.1	.	+	SNORA31	135
5	79602054	79602187	ENSG00000251828.1	.	-	SNORA31	134
5	105882366	105882504	ENSG00000252337.1	.	+	SNORA31	139
7	32831426	32831558	ENSG00000251999.1	.	+	SNORA31	133
7	34932029	34932161	ENSG00000251802.1	.	+	SNORA31	133
7	52337133	52337265	ENSG00000253028.1	.	-	SNORA31	133
8	118325767	118325900	ENSG00000252852.1	.	+	SNORA31	134
9	26796171	26796302	ENSG00000252580.1	.	-	SNORA31	132
9	104084759	104084815	ENSG00000253041.1	.	+	SNORA31	57
9	133896555	133896693	ENSG00000252582.1	.	-	SNORA31	139
10	16047807	16047922	ENSG00000252537.1	.	+	SNORA31	116
10	78595135	78595260	ENSG00000252888.1	.	-	SNORA31	126
11	37723675	37723770	ENSG00000251838.1	.	-	SNORA31	96
13	45910449	45910582	ENSG00000253051.1	.	-	SNORA31	134
13	45911615	45911744	ENSG00000199477.1	.	-	SNORA31	130
14	36225533	36225669	ENSG00000253059.1	.	+	SNORA31	137
14	42063666	42063794	ENSG00000251858.1	.	+	SNORA31	129
17	19565313	19565403	ENSG00000252349.1	.	+	SNORA31	91
20	4849630	4849764	ENSG00000252096.1	.	+	SNORA31	135
X	5979685	5979790	ENSG00000252291.1	.	-	SNORA31	106
X	38167365	38167494	ENSG00000252050.1	.	-	SNORA31	130
8	120400588	120400709	ENSG00000206776.1	.	+	SNORA32	122
11	93464145	93464265	ENSG00000206799.1	.	-	SNORA32	121
14	77667369	77667483	ENSG00000201384.1	.	-	SNORA32	115
21	42911133	42911253	ENSG00000207503.1	.	+	SNORA32	121
3	133270030	133270159	ENSG00000201827.1	.	+	SNORA33	130
6	104031010	104031143	ENSG00000202283.1	.	+	SNORA33	134
6	133138358	133138487	ENSG00000200534.1	.	+	SNORA33	130
21	33910609	33910744	ENSG00000252045.1	.	+	SNORA33	136
X	113865259	113865386	ENSG00000208839.1	.	+	SNORA35	128
X	114360879	114361007	ENSG00000271907.1	.	-	SNORA35	129
X	117872018	117872145	ENSG00000239182.1	.	+	SNORA35	128
2	27864910	27865036	ENSG00000206731.1	.	-	SNORA36	127
10	73940616	73940747	ENSG00000200294.1	.	+	SNORA36	132
6	31590856	31590987	ENSG00000200816.1	.	+	SNORA38	132
12	119326239	119326369	ENSG00000201042.1	.	-	SNORA38	131
2	198269442	198269578	ENSG00000202434.1	.	+	SNORA4	137
3	183171916	183172050	ENSG00000251730.1	.	+	SNORA4	135
3	186505401	186505538	ENSG00000263776.1	.	+	SNORA4	138
7	51003047	51003190	ENSG00000201133.1	.	-	SNORA4	144
X	81816650	81816796	ENSG00000202183.1	.	+	SNORA4	147
1	118231243	118231364	ENSG00000212266.1	.	-	SNORA40	122
1	150573015	150573135	ENSG00000253047.1	.	-	SNORA40	121
2	16380471	16380563	ENSG00000251704.1	.	+	SNORA40	93
2	18221872	18221999	ENSG00000212455.1	.	-	SNORA40	128
2	135894198	135894325	ENSG00000208308.1	.	+	SNORA40	128
5	23972297	23972403	ENSG00000252083.1	.	-	SNORA40	107
5	74178481	74178608	ENSG00000212363.1	.	-	SNORA40	128
5	167460096	167460210	ENSG00000253065.1	.	-	SNORA40	115
6	35619595	35619722	ENSG00000212579.1	.	+	SNORA40	128
6	111169749	111169876	ENSG00000212587.1	.	+	SNORA40	128
7	99549656	99549781	ENSG00000222966.1	.	+	SNORA40	126
7	138309805	138309924	ENSG00000252188.1	.	-	SNORA40	120
8	134656841	134656968	ENSG00000212273.1	.	-	SNORA40	128
10	23455914	23456030	ENSG00000252049.1	.	+	SNORA40	117
10	36727544	36731320	ENSG00000237002.2	.	+	SNORA40	784
11	93468277	93468402	ENSG00000210825.1	.	-	SNORA40	126
12	109171920	109174194	ENSG00000264043.2	.	-	SNORA40	2275
16	7776843	7776953	ENSG00000252138.1	.	-	SNORA40	111
17	41092592	41092719	ENSG00000212149.1	.	-	SNORA40	128
17	67351274	67351359	ENSG00000252352.1	.	-	SNORA40	86
20	29964122	29964249	ENSG00000212134.1	.	+	SNORA40	128
X	123331593	123331699	ENSG00000252693.1	.	+	SNORA40	107
2	207026952	207027083	ENSG00000207406.1	.	+	SNORA41	132
15	45829448	45829575	ENSG00000207516.1	.	+	SNORA41	128
1	116164493	116164626	ENSG00000207502.1	.	-	SNORA42	134
1	155889700	155889836	ENSG00000207475.1	.	-	SNORA42	137
7	6056508	6056642	ENSG00000207217.1	.	+	SNORA42	135
14	38189630	38189766	ENSG00000200385.1	.	+	SNORA42	137
16	30430946	30431080	ENSG00000199787.1	.	-	SNORA42	135
2	180799128	180799265	ENSG00000202216.1	.	-	SNORA43	138
3	3144597	3144699	ENSG00000253049.1	.	+	SNORA43	103
3	8973179	8973316	ENSG00000199815.1	.	+	SNORA43	138
11	66200234	66200373	ENSG00000201733.1	.	+	SNORA43	140
16	28892801	28892928	ENSG00000252461.1	.	-	SNORA43	128
14	77932627	77932779	ENSG00000212371.1	.	+	SNORA46	153
16	58582403	58582537	ENSG00000207493.1	.	-	SNORA46	135
2	149018143	149018277	ENSG00000212181.1	.	-	SNORA48	135
2	227833705	227833838	ENSG00000212391.1	.	-	SNORA48	134
4	1112672	1112801	ENSG00000212458.1	.	+	SNORA48	130
6	30100582	30100743	ENSG00000252228.1	.	-	SNORA48	162
7	101837356	101837444	ENSG00000252824.1	.	-	SNORA48	89
12	57255159	57255292	ENSG00000212383.1	.	+	SNORA48	134
15	26254087	26254221	ENSG00000212604.1	.	-	SNORA48	135
15	64634738	64634897	ENSG00000252774.1	.	+	SNORA48	160
16	11367970	11368093	ENSG00000212228.1	.	-	SNORA48	124
16	68223190	68223324	ENSG00000212445.1	.	+	SNORA48	135
17	7478031	7478165	ENSG00000209582.1	.	+	SNORA48	135
18	7301018	7301151	ENSG00000212626.1	.	-	SNORA48	134
X	3450158	3450292	ENSG00000212214.1	.	-	SNORA48	135
5	68456633	68456766	ENSG00000220986.1	.	+	SNORA50	134
16	58593700	58593835	ENSG00000206952.2	.	-	SNORA50	136
1	93311616	93311739	ENSG00000207022.1	.	+	SNORA51	124
1	228788183	228788307	ENSG00000206878.1	.	+	SNORA51	125
2	10436173	10436306	ENSG00000206898.1	.	-	SNORA51	134
2	170584382	170584513	ENSG00000206961.1	.	+	SNORA51	132
4	40084603	40084726	ENSG00000201863.1	.	+	SNORA51	124
4	169392560	169392690	ENSG00000207171.1	.	+	SNORA51	131
4	177019314	177019436	ENSG00000201516.1	.	+	SNORA51	123
5	110020495	110020628	ENSG00000207177.1	.	-	SNORA51	134
7	37459231	37459370	ENSG00000200113.1	.	+	SNORA51	140
7	137872744	137872875	ENSG00000201465.1	.	-	SNORA51	132
8	60049931	60050061	ENSG00000206853.1	.	-	SNORA51	131
20	2635713	2635844	ENSG00000271798.1	.	+	SNORA51	132
21	41885071	41885206	ENSG00000207147.1	.	+	SNORA51	136
5	40790179	40790306	ENSG00000212567.1	.	-	SNORA57	128
5	171679338	171679482	ENSG00000212529.1	.	-	SNORA57	145
10	27077946	27078086	ENSG00000223027.1	.	+	SNORA57	141
11	62432894	62433042	ENSG00000206597.1	.	+	SNORA57	149
1	54236691	54236826	ENSG00000201003.1	.	-	SNORA58	136
1	154232203	154232338	ENSG00000201129.1	.	+	SNORA58	136
3	131197941	131198077	ENSG00000249020.1	.	-	SNORA58	137
1	35775875	35776026	ENSG00000201542.1	.	+	SNORA62	152
3	39452545	39452697	ENSG00000202363.1	.	+	SNORA62	153
4	68612954	68613104	ENSG00000202374.1	.	+	SNORA62	151
8	18837129	18837282	ENSG00000201157.1	.	+	SNORA62	154
11	4777875	4778027	ENSG00000201980.1	.	+	SNORA62	153
16	69819897	69820016	ENSG00000252443.1	.	-	SNORA62	120
21	40266709	40266791	ENSG00000272015.1	.	+	SNORA62	83
1	36884051	36884179	ENSG00000201448.1	.	-	SNORA63	129
1	38349909	38349989	ENSG00000252448.1	.	+	SNORA63	81
1	178722789	178722907	ENSG00000201791.1	.	-	SNORA63	119
3	183169645	183169776	ENSG00000201229.1	.	+	SNORA63	132
3	183171602	183171732	ENSG00000199363.1	.	+	SNORA63	131
3	186504112	186504234	ENSG00000200418.1	.	+	SNORA63	123
3	186505089	186505220	ENSG00000200320.1	.	+	SNORA63	132
4	14692334	14692456	ENSG00000202449.1	.	+	SNORA63	123
5	40655065	40655196	ENSG00000199552.1	.	+	SNORA63	132
7	17412825	17412950	ENSG00000199473.1	.	-	SNORA63	126
7	64791632	64791729	ENSG00000252102.1	.	+	SNORA63	98
7	64792309	64792386	ENSG00000200130.1	.	+	SNORA63	78
15	78383514	78383639	ENSG00000199633.1	.	-	SNORA63	126
2	30410300	30410432	ENSG00000207187.1	.	+	SNORA64	133
3	40280099	40280232	ENSG00000202517.1	.	+	SNORA64	134
7	12740383	12740514	ENSG00000199470.1	.	-	SNORA64	132
12	47739949	47740080	ENSG00000199566.1	.	-	SNORA64	132
16	2012974	2013107	ENSG00000207405.1	.	-	SNORA64	134
X	114779969	114780049	ENSG00000252441.1	.	+	SNORA64	81
1	93303575	93303627	ENSG00000251795.1	.	+	SNORA66	53
1	93306276	93306408	ENSG00000207523.1	.	+	SNORA66	133
1	179165608	179165714	ENSG00000212338.1	.	+	SNORA67	107
1	179170622	179170762	ENSG00000201619.1	.	+	SNORA67	141
2	39510798	39510932	ENSG00000252473.1	.	-	SNORA67	135
6	11710052	11710193	ENSG00000207419.1	.	+	SNORA67	142
7	88078407	88078546	ENSG00000207094.1	.	-	SNORA67	140
8	23663742	23663890	ENSG00000207027.1	.	-	SNORA67	149
9	134658247	134658345	ENSG00000212395.1	.	-	SNORA67	99
17	7476144	7485342	ENSG00000264772.2	.	+	SNORA67	4554
5	158657202	158657330	ENSG00000252458.1	.	+	SNORA68	129
13	73034657	73034739	ENSG00000251715.1	.	-	SNORA68	83
17	46958202	46958329	ENSG00000212565.1	.	+	SNORA68	128
19	17973397	17973529	ENSG00000207166.1	.	+	SNORA68	133
19	33099243	33099375	ENSG00000201388.1	.	-	SNORA68	133
X	24151303	24151434	ENSG00000201407.1	.	+	SNORA68	132
17	8232901	8233037	ENSG00000212206.1	.	+	SNORA69	137
X	118921316	118921447	ENSG00000206622.1	.	-	SNORA69	132
8	51927581	51927725	ENSG00000201316.1	.	+	SNORA7	145
11	3943797	3943933	ENSG00000206976.1	.	+	SNORA7	137
11	73963459	73963597	ENSG00000206913.1	.	-	SNORA7	139
14	75178654	75178748	ENSG00000222604.1	.	+	SNORA7	95
X	15734331	15734469	ENSG00000200620.1	.	+	SNORA7	139
1	12281205	12281328	ENSG00000252969.1	.	-	SNORA70	124
1	201947589	201947723	ENSG00000206637.1	.	+	SNORA70	135
1	202496438	202496555	ENSG00000253042.1	.	-	SNORA70	118
2	215711671	215711805	ENSG00000207274.1	.	+	SNORA70	135
3	108293412	108293545	ENSG00000202379.1	.	+	SNORA70	134
4	132689295	132689404	ENSG00000252014.1	.	+	SNORA70	110
5	87678589	87678724	ENSG00000206958.1	.	+	SNORA70	136
5	170793122	170793256	ENSG00000206909.1	.	+	SNORA70	135
6	82473741	82473873	ENSG00000206886.1	.	+	SNORA70	133
8	4985801	4985934	ENSG00000206661.1	.	-	SNORA70	134
8	8819085	8819218	ENSG00000207244.1	.	+	SNORA70	134
8	33397558	33397655	ENSG00000252505.1	.	+	SNORA70	98
9	42037464	42037558	ENSG00000252724.1	.	+	SNORA70	95
9	46042781	46042875	ENSG00000252617.1	.	-	SNORA70	95
9	46669492	46669586	ENSG00000252133.1	.	-	SNORA70	95
9	67864533	67864627	ENSG00000252878.1	.	+	SNORA70	95
12	76082932	76083084	ENSG00000251893.2	.	-	SNORA70	153
12	121544846	121544977	ENSG00000201945.1	.	+	SNORA70	132
14	51710808	51710942	ENSG00000201376.1	.	+	SNORA70	135
16	50185553	50185642	ENSG00000252526.1	.	-	SNORA70	90
17	26349356	26349490	ENSG00000202389.1	.	-	SNORA70	135
17	28104637	28104762	ENSG00000252657.1	.	+	SNORA70	126
18	3025432	3025564	ENSG00000252258.1	.	-	SNORA70	133
19	9930630	9930770	ENSG00000200237.1	.	+	SNORA70	141
19	45268207	45268357	ENSG00000253027.1	.	+	SNORA70	151
21	10385953	10386047	ENSG00000252199.1	.	+	SNORA70	95
21	34214171	34214305	ENSG00000207098.1	.	-	SNORA70	135
X	153628622	153628756	ENSG00000207165.1	.	+	SNORA70	135
Y	25569246	25569383	ENSG00000251925.1	.	-	SNORA70	138
Y	28393531	28393668	ENSG00000251796.1	.	+	SNORA70	138
10	80127264	80127380	ENSG00000201393.1	.	+	SNORA71	117
20	37070679	37070812	ENSG00000201811.1	.	+	SNORA71	134
1	205700349	205700480	ENSG00000201944.1	.	-	SNORA72	132
1	224367343	224367469	ENSG00000201898.1	.	+	SNORA72	127
2	105349692	105349820	ENSG00000207249.1	.	+	SNORA72	129
2	140268994	140269125	ENSG00000206901.1	.	+	SNORA72	132
3	160414717	160414848	ENSG00000207084.1	.	+	SNORA72	132
3	172489067	172489195	ENSG00000200355.1	.	-	SNORA72	129
8	99054314	99054445	ENSG00000207067.1	.	-	SNORA72	132
8	132445023	132445116	ENSG00000252158.1	.	-	SNORA72	94
2	3628160	3628322	ENSG00000252531.1	.	+	SNORA73	163
6	89423961	89424149	ENSG00000222145.1	.	-	SNORA73	189
6	108306863	108306983	ENSG00000253090.1	.	-	SNORA73	121
7	54933511	54933717	ENSG00000252054.1	.	+	SNORA73	207
14	23486367	23486590	ENSG00000252114.1	.	-	SNORA73	224
18	19397585	19397789	ENSG00000199977.1	.	+	SNORA73	205
18	53746625	53746825	ENSG00000201816.1	.	-	SNORA73	201
2	65385796	65385994	ENSG00000272025.1	.	+	SNORA74	199
5	138611869	138612009	ENSG00000252213.1	.	+	SNORA74	141
10	51383526	51383726	ENSG00000223182.1	.	+	SNORA74	201
10	51611024	51611224	ENSG00000223111.1	.	-	SNORA74	201
12	42740863	42741016	ENSG00000252917.1	.	-	SNORA74	154
17	14080448	14080627	ENSG00000252305.1	.	+	SNORA74	180
17	15477333	15477512	ENSG00000252129.1	.	+	SNORA74	180
2	50116006	50116124	ENSG00000212580.1	.	-	SNORA75	119
2	232320511	232320647	ENSG00000206885.1	.	-	SNORA75	137
4	17322369	17322505	ENSG00000206780.1	.	-	SNORA75	137
4	80764256	80764382	ENSG00000212620.1	.	+	SNORA75	127
12	9439269	9439418	ENSG00000212440.1	.	-	SNORA75	150
12	9597654	9597801	ENSG00000212432.1	.	+	SNORA75	148
12	31229801	31229950	ENSG00000212533.1	.	-	SNORA75	150
16	23453162	23453242	ENSG00000212593.1	.	+	SNORA75	81
5	65257011	65257147	ENSG00000252904.1	.	-	SNORA76	137
16	75443230	75443364	ENSG00000252122.1	.	-	SNORA76	135
17	62223330	62223836	ENSG00000266402.2	.	+	SNORA76	278
22	34100772	34100906	ENSG00000253007.2	.	-	SNORA76	135
1	8571854	8571978	ENSG00000221083.1	.	-	SNORA77	125
1	203698709	203698833	ENSG00000221643.1	.	+	SNORA77	125
2	183928963	183929074	ENSG00000221498.1	.	-	SNORA77	112
15	69617632	69617759	ENSG00000221376.1	.	-	SNORA77	128
22	20113925	20114049	ENSG00000264346.1	.	+	SNORA77	125
14	20791338	20791485	ENSG00000222489.1	.	-	SNORA79	148
14	81669039	81669178	ENSG00000221303.1	.	-	SNORA79	140
6	38790083	38790180	ENSG00000212586.1	.	-	SNORA8	98
6	41800592	41800731	ENSG00000206977.1	.	+	SNORA8	140
11	93465527	93465665	ENSG00000207304.1	.	-	SNORA8	139
17	65267585	65267723	ENSG00000207410.1	.	+	SNORA8	139
X	132286782	132286920	ENSG00000207100.1	.	+	SNORA8	139
3	183170355	183170552	ENSG00000253092.1	.	+	SNORA81	198
3	186504464	186504641	ENSG00000221420.2	.	+	SNORA81	178
18	19291911	19292080	ENSG00000252677.1	.	-	SNORA81	170
21	33036619	33036795	ENSG00000238390.1	.	+	SNORA81	177
12	122976660	122976788	ENSG00000252192.1	.	-	SNORA9	129
12	124101255	124101387	ENSG00000206897.1	.	+	SNORA9	133
13	73160818	73160948	ENSG00000199282.1	.	+	SNORA9	131
X	100077609	100077741	ENSG00000202231.1	.	-	SNORA9	133
2	203157772	203157859	ENSG00000238317.1	.	+	SNORD11	88
15	46643860	46643944	ENSG00000238819.1	.	-	SNORD11	85
16	70571908	70572001	ENSG00000221066.1	.	+	SNORD111	94
19	35128601	35128686	ENSG00000252230.1	.	-	SNORD111	86
1	35409357	35409425	ENSG00000252728.1	.	+	SNORD112	69
1	54991059	54991126	ENSG00000252646.1	.	+	SNORD112	68
1	163355655	163355726	ENSG00000252740.1	.	+	SNORD112	72
1	165041710	165041781	ENSG00000252359.1	.	-	SNORD112	72
1	172317283	172317357	ENSG00000252354.1	.	+	SNORD112	75
1	184647068	184647141	ENSG00000252790.1	.	+	SNORD112	74
1	204873875	204873946	ENSG00000252946.1	.	-	SNORD112	72
1	206855308	206855380	ENSG00000252853.1	.	+	SNORD112	73
1	246970417	246970487	ENSG00000252495.1	.	+	SNORD112	71
2	33216326	33216391	ENSG00000252502.1	.	-	SNORD112	66
2	84085947	84086023	ENSG00000252298.1	.	+	SNORD112	77
2	229452519	229452589	ENSG00000251801.1	.	-	SNORD112	71
3	112856813	112856888	ENSG00000253076.1	.	-	SNORD112	76
3	121964613	121964684	ENSG00000252170.1	.	+	SNORD112	72
4	108038489	108038561	ENSG00000252566.1	.	-	SNORD112	73
4	141196195	141196266	ENSG00000252300.1	.	-	SNORD112	72
6	37151373	37151444	ENSG00000252687.1	.	-	SNORD112	72
6	78646918	78646988	ENSG00000252932.1	.	+	SNORD112	71
6	137861537	137861608	ENSG00000252476.1	.	+	SNORD112	72
7	104611734	104611805	ENSG00000251911.1	.	+	SNORD112	72
7	148983533	148983604	ENSG00000252557.1	.	-	SNORD112	72
8	10641565	10641629	ENSG00000252565.1	.	+	SNORD112	65
8	41901022	41901093	ENSG00000238966.1	.	-	SNORD112	72
8	110608472	110608543	ENSG00000252559.1	.	-	SNORD112	72
9	86096182	86096252	ENSG00000252256.1	.	+	SNORD112	71
10	103027694	103027765	ENSG00000252844.1	.	-	SNORD112	72
10	103862019	103862089	ENSG00000253068.1	.	+	SNORD112	71
11	82283051	82283122	ENSG00000252592.1	.	-	SNORD112	72
12	33515518	33515590	ENSG00000251863.1	.	-	SNORD112	73
12	62511668	62511739	ENSG00000252883.1	.	-	SNORD112	72
13	97618195	97618268	ENSG00000252154.1	.	-	SNORD112	74
14	49410650	49410717	ENSG00000251824.1	.	-	SNORD112	68
14	61729679	61729750	ENSG00000252380.1	.	-	SNORD112	72
14	101382173	101382230	ENSG00000251769.1	.	+	SNORD112	58
14	101383915	101383982	ENSG00000252873.1	.	+	SNORD112	68
14	101392317	101392388	ENSG00000251949.1	.	+	SNORD112	72
14	101405405	101405475	ENSG00000252144.1	.	+	SNORD112	71
14	101406904	101406974	ENSG00000251918.1	.	+	SNORD112	71
14	101463990	101464061	ENSG00000252009.1	.	+	SNORD112	72
15	76109433	76109504	ENSG00000252372.1	.	-	SNORD112	72
15	80434400	80434469	ENSG00000251881.1	.	+	SNORD112	70
16	50532072	50532141	ENSG00000252077.1	.	-	SNORD112	70
16	70902110	70902171	ENSG00000251700.1	.	+	SNORD112	62
18	5579413	5579484	ENSG00000252572.1	.	+	SNORD112	72
18	34222576	34222647	ENSG00000252078.1	.	-	SNORD112	72
19	42648206	42648277	ENSG00000252356.1	.	-	SNORD112	72
20	39045515	39045586	ENSG00000252434.1	.	+	SNORD112	72
X	55930020	55930089	ENSG00000252961.1	.	-	SNORD112	70
14	101422577	101422649	ENSG00000200150.1	.	+	SNORD113	73
14	101443726	101443803	ENSG00000201500.1	.	+	SNORD113	78
14	101445339	101445427	ENSG00000201036.1	.	+	SNORD113	89
14	101446329	101446403	ENSG00000201710.1	.	+	SNORD113	75
14	101460594	101460667	ENSG00000222095.1	.	+	SNORD113	74
14	101464804	101464878	ENSG00000222185.1	.	+	SNORD113	75
10	29864235	29864310	ENSG00000212411.1	.	+	SNORD115	76
15	25404368	25404426	ENSG00000212428.1	.	+	SNORD115	59
1	215803368	215803459	ENSG00000202498.1	.	-	SNORD116	92
9	129189172	129189249	ENSG00000252985.1	.	+	SNORD116	78
13	40431272	40431364	ENSG00000212553.1	.	-	SNORD116	93
2	12170429	12170498	ENSG00000238503.1	.	-	SNORD18	70
15	91298473	91298542	ENSG00000200677.1	.	-	SNORD18	70
3	52723264	52723331	ENSG00000212493.1	.	+	SNORD19	68
3	52725394	52725469	ENSG00000222345.1	.	+	SNORD19	76
3	52722898	52722977	ENSG00000252787.1	.	+	SNORD19B	80
3	52724760	52724843	ENSG00000238862.1	.	+	SNORD19B	84
3	186502585	186502653	ENSG00000238942.1	.	+	SNORD2	69
10	58355723	58355791	ENSG00000238707.1	.	-	SNORD2	69
18	19030614	19030717	ENSG00000221139.1	.	-	SNORD23	104
19	48259110	48259219	ENSG00000221803.1	.	+	SNORD23	110
9	8888136	8888207	ENSG00000251699.1	.	+	SNORD27	72
13	21714025	21714096	ENSG00000252128.1	.	-	SNORD27	72
6	156699884	156699958	ENSG00000212295.1	.	+	SNORD28	75
18	56267863	56267930	ENSG00000252284.1	.	+	SNORD28	68
16	76503405	76503492	ENSG00000252022.1	.	-	SNORD33	88
19	49993872	49993956	ENSG00000199631.1	.	+	SNORD33	85
13	23377284	23377363	ENSG00000253094.1	.	+	SNORD36	80
20	46764686	46764766	ENSG00000252227.1	.	-	SNORD36	81
X	153121158	153121222	ENSG00000251846.1	.	+	SNORD36	65
13	73028040	73028105	ENSG00000212377.1	.	-	SNORD37	66
14	26275854	26275918	ENSG00000212270.1	.	-	SNORD37	65
19	3982505	3982570	ENSG00000206775.1	.	-	SNORD37	66
3	53367087	53367155	ENSG00000207109.1	.	-	SNORD38	69
8	38876134	38876202	ENSG00000207199.1	.	-	SNORD38	69
13	90489424	90489491	ENSG00000200733.1	.	+	SNORD38	68
19	3521246	3521318	ENSG00000252408.1	.	-	SNORD38	73
2	238778547	238778625	ENSG00000263723.1	.	+	SNORD39	79
9	21524306	21524381	ENSG00000264379.1	.	-	SNORD39	76
11	109134221	109134291	ENSG00000264997.1	.	-	SNORD39	71
14	23225970	23226038	ENSG00000212302.1	.	-	SNORD41	69
19	12817263	12817332	ENSG00000209702.1	.	-	SNORD41	70
4	83323791	83323859	ENSG00000202440.1	.	-	SNORD42	69
22	28628744	28628811	ENSG00000201209.1	.	-	SNORD42	68
11	74427732	74427794	ENSG00000212277.1	.	-	SNORD43	63
22	39715055	39715118	ENSG00000263764.1	.	-	SNORD43	64
5	139906937	139907013	ENSG00000200051.1	.	-	SNORD45	77
6	38175050	38175121	ENSG00000200706.1	.	+	SNORD45	72
6	166513153	166526761	ENSG00000231297.2	.	+	SNORD45	1035
10	12457927	12457999	ENSG00000252438.1	.	+	SNORD45	73
X	86401736	86401807	ENSG00000200422.1	.	+	SNORD45	72
1	45242162	45242265	ENSG00000200913.1	.	+	SNORD46	104
6	24166501	24166602	ENSG00000251830.1	.	+	SNORD46	102
7	132437783	132437886	ENSG00000201009.1	.	+	SNORD46	104
3	25597034	25597097	ENSG00000272166.1	.	-	SNORD5	64
8	142457575	142457649	ENSG00000238854.1	.	+	SNORD5	75
11	93466394	93466466	ENSG00000239195.1	.	-	SNORD5	73
4	77323229	77323299	ENSG00000199857.1	.	+	SNORD50	71
12	110934157	110934226	ENSG00000202335.1	.	-	SNORD50	70
2	207026602	207026681	ENSG00000207047.2	.	+	SNORD51	80
14	104263609	104263685	ENSG00000202275.1	.	-	SNORD51	77
2	154303327	154303397	ENSG00000200377.1	.	-	SNORD56	71
7	20416954	20417024	ENSG00000200753.1	.	+	SNORD56	71
11	89851559	89851629	ENSG00000207299.1	.	+	SNORD56	71
12	116290453	116290523	ENSG00000200112.1	.	-	SNORD56	71
20	2637270	2637340	ENSG00000229686.1	.	+	SNORD56	71
20	33704939	33705010	ENSG00000201151.1	.	-	SNORD56	72
22	25297114	25297181	ENSG00000199783.1	.	-	SNORD56	68
1	154260936	154261003	ENSG00000252682.1	.	+	SNORD59	68
2	195528831	195528898	ENSG00000252517.1	.	-	SNORD59	68
1	206261008	206261093	ENSG00000252692.1	.	-	SNORD60	86
10	128468271	128468343	ENSG00000199321.1	.	-	SNORD60	73
16	2205024	2205106	ENSG00000206630.1	.	-	SNORD60	83
3	99940365	99940436	ENSG00000238377.1	.	-	SNORD61	72
X	135961358	135961430	ENSG00000206979.1	.	-	SNORD61	73
3	53564349	53564428	ENSG00000251987.1	.	-	SNORD63	80
5	137894659	137894728	ENSG00000222937.1	.	-	SNORD63	70
5	137896732	137896799	ENSG00000206989.1	.	-	SNORD63	68
17	28573775	28573838	ENSG00000252112.1	.	-	SNORD63	64
1	159821696	159821762	ENSG00000212161.1	.	-	SNORD64	67
15	25230011	25230320	ENSG00000270704.2	.	+	SNORD64	310
4	179607040	179607110	ENSG00000212191.1	.	-	SNORD65	71
6	67920301	67920373	ENSG00000212229.1	.	-	SNORD65	73
7	23436065	23436135	ENSG00000212264.1	.	+	SNORD65	71
8	41284174	41284246	ENSG00000238936.1	.	+	SNORD65	73
3	184043484	184043559	ENSG00000212158.1	.	+	SNORD66	76
6	51329488	51329563	ENSG00000212532.1	.	+	SNORD66	76
11	46780316	46780423	ENSG00000252427.1	.	-	SNORD67	108
11	46783939	46784049	ENSG00000212135.1	.	-	SNORD67	111
2	203141154	203141241	ENSG00000212534.1	.	+	SNORD70	88
2	203142831	203142915	ENSG00000212309.1	.	+	SNORD70	85
4	26703931	26704010	ENSG00000200999.1	.	+	SNORD74	80
10	89754375	89754452	ENSG00000200891.1	.	-	SNORD74	78
